mechanic_name,mechanic_type,description,difficulty_impact,engagement_impact
Core Loop,Interaction,Primary repeated action cycle,Medium,High
Feedback Loop,Reinforcement,Immediate consequence to player action,Low,High
Progression System,Advancement,Long-term goal structure,Medium,High
Currency Sink,Economy,Money removal mechanism,Low,Medium
Currency Source,Economy,Money injection mechanism,Low,Medium
Difficulty Curve,Challenge,Scaling challenge over time,High,High
Skill Tree,Progression,Player ability customization,Medium,High
Loot System,Reward,Random item distribution,Low,High
Combo Mechanic,Interaction,Chained action bonus,High,High
Cooldown System,Pacing,Action availability timing,Medium,Medium
